MOUNT HOTHAM,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (36 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (36 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (36 ha),+ means that snowmaking depth is = or > than natural snow depth,2014 Natural Snow Depth,2014 Average depth in snow-making area (36 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (36 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (36 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (36 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (36 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (36 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (36 ha),,2007 Natural Snow Depth,2007 Average depth in snow-making area (36 ha),,2006 Natural Snow Depth,2006 Average depth in snow-making area (36 ha),+ means that snowmaking depth is = or > than natural snow depth,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,5/6,5-Jun,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,0,75,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,6/6,,0.00,0,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,11,,0,85,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,7/6,,0.00,0,30,0,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,31,2,0,82,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,8/6,,3.20,3,30,0,,,,,0,0,,,,,,,,,,,,,,,,,10,0,,0,0,,23,32,,0,0,,,,,0,35,11,0,80,0,20,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,9/6,,6.70,8,26,0,,,,,0,0,,,,,,,,35,35,+,,,,,,,19,0,,0,0,,23,32,,0,0,,,,,0,33,2,0,81,0,18,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,10/6,,9.70,9,25,25,,0,0,+,0,0,,,,,,,,33,35,+,,,,,,,38,38,+,0,0,,19,24,,0,0,,0,,,0,31,0,0,84,0,15,1.5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,11/6,,12.90,12,25,34,,2,2,+,0,0,,,,,,,,33,35,+,27,30,+,,,,38,38,+,0,0,,19,24,,5,20,,0,,,0,30,0,0,80,0,15,0,0,14,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun,12/6,12-Jun,16.20,13,25,34,,6,5,,0,20,,,,,,,,33,35,+,26,30,+,8,10,+,35,32,+,0,0,,21,30,,5,20,,0,,,0,29,0,0,74,0,12,0,0,17,6,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
