MOUNT STIRLING,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area,NO SNOW MAKING,2016 Natural Snow Depth,2016 Average depth in snow-making area,NO SNOW MAKING,2015 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2014 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2013 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2012 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2011 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2010 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2009 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2008 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2007 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2006 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2005,NO SNOW MAKING,NO SNOW MAKING,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,5/6,5-Jun,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,77,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,6/6,,0,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,85,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,7/6,,0,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,0,0,0,0,85,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,8/6,,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,70,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,9/6,,1,0,0,,,,,0,,,,,,,,,0,,,,,,,,,10,,,0,,,,,,0,,,0,,,0,0,0,0,73,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,10/6,,2,0,0,,0,,,0,,,,,,,,,0,,,,,,,,,15,,,0,,,3,,,0,,,0,,,0,0,7,0,73,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,11/6,,4,0,0,,0,,,0,,,,,,,,,0,,,13,,,,,,23,,,0,,,3,,,0,,,0,,,0,0,7,0,50,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun,12/6,12-Jun,4,0,0,,0,,,0,,,,,,,,,0,,,13,,,5,,,23,,,0,,,2,,,0,,,0,,,0,0,4,0,45,0,3,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,13/6,,5,0,0,,0,,,0,,,,,,,,,0,,,13,,,5,,,23,,,5,,,2,,,0,,,0,,,0,0,9,0,45,5,3,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,14/6,,6,0,0,,5,,,0,,,,,,,,,0,,,10,,,10,,,23,,,5,,,5,,,0,,,0,,,0,0,6,0,40,5,3,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,15/6,,5,0,0,,5,,,0,,,,,,,,,0,,,10,,,0,,,23,,,5,,,6,,,0,,,1,,,0,15,6,0,38,26,3,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jun,16/6,,5,0,0,,5,,,0,,,,,,,,,0,,,8,,,7,,,23,,,5,,,6,,,0,,,1,,,0,,6,0,35,30,4,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jun,17/6,,5,0,0,,3,,,0,,,,,,,,,0,,,7,,,4,,,23,,,5,,,6,,,0,,,7,,,10,32,6,0,38,30,4,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
