Location,Year,Week,Date,SnowDepth(cm)
Falls Creek,2020,1,9-Jun,27
Falls Creek,2020,2,16-Jun,22
Falls Creek,2020,3,23-Jun,58
Falls Creek,2020,4,30-Jun,54
Falls Creek,2020,5,7-Jul,74
Falls Creek,2020,6,14-Jul,66
Falls Creek,2020,7,21-Jul,79
Falls Creek,2020,8,28-Jul,80
Falls Creek,2020,9,4-Aug,83
Falls Creek,2020,10,11-Aug,115
Falls Creek,2020,11,18-Aug,172
Falls Creek,2020,12,25-Aug,156
Falls Creek,2020,13,1-Sep,183
Falls Creek,2020,14,8-Sep,180
Falls Creek,2020,15,15-Sep,155
Falls Creek,2021,1,9-Jun,0
Falls Creek,2021,2,16-Jun,0
Falls Creek,2021,3,23-Jun,0
Falls Creek,2021,4,30-Jun,0
Falls Creek,2021,5,7-Jul,25
Falls Creek,2021,6,14-Jul,54
Falls Creek,2021,7,21-Jul,70
Falls Creek,2021,8,28-Jul,66
Falls Creek,2021,9,4-Aug,75
Falls Creek,2021,10,11-Aug,90
Falls Creek,2021,11,18-Aug,123
Falls Creek,2021,12,25-Aug,146
Falls Creek,2021,13,1-Sep,118
Falls Creek,2021,14,8-Sep,86
Falls Creek,2021,15,15-Sep,70
Falls Creek,2022,1,9-Jun,0
Falls Creek,2022,2,16-Jun,0
Falls Creek,2022,3,23-Jun,0
Falls Creek,2022,4,30-Jun,104
Falls Creek,2022,5,7-Jul,102
Falls Creek,2022,6,14-Jul,136
Falls Creek,2022,7,21-Jul,156
Falls Creek,2022,8,28-Jul,138
Falls Creek,2022,9,4-Aug,131
Falls Creek,2022,10,11-Aug,127
Falls Creek,2022,11,18-Aug,123
Falls Creek,2022,12,25-Aug,109
Falls Creek,2022,13,1-Sep,95
Falls Creek,2022,14,8-Sep,87
Falls Creek,2022,15,15-Sep,65
Falls Creek,2023,1,9-Jun,0
Falls Creek,2023,2,16-Jun,2
Falls Creek,2023,3,23-Jun,1
Falls Creek,2023,4,30-Jun,0
Falls Creek,2023,5,7-Jul,5
Falls Creek,2023,6,14-Jul,41
Falls Creek,2023,7,21-Jul,47
Falls Creek,2023,8,28-Jul,87
Falls Creek,2023,9,4-Aug,99
Falls Creek,2023,10,11-Aug,111
Falls Creek,2023,11,18-Aug,109
Falls Creek,2023,12,25-Aug,98
Falls Creek,2023,13,1-Sep,93
Falls Creek,2023,14,8-Sep,103
Falls Creek,2023,15,15-Sep,77
Falls Creek,2024,1,9-Jun,0
Falls Creek,2024,2,16-Jun,0
Falls Creek,2024,3,23-Jun,46
Falls Creek,2024,4,30-Jun,69
Falls Creek,2024,5,7-Jul,57
Falls Creek,2024,6,14-Jul,90
Falls Creek,2024,7,21-Jul,66
Falls Creek,2024,8,28-Jul,114
Falls Creek,2024,9,4-Aug,102
Falls Creek,2024,10,11-Aug,101
Falls Creek,2024,11,18-Aug,94
Falls Creek,2024,12,25-Aug,125
Falls Creek,2024,13,1-Sep,104
Falls Creek,2024,14,8-Sep,97
Falls Creek,2024,15,15-Sep,93
Falls Creek,2025,1,9-Jun,17
Falls Creek,2025,2,16-Jun,9
Falls Creek,2025,3,23-Jun,4
Falls Creek,2025,4,30-Jun,9
Falls Creek,2025,5,7-Jul,23
Falls Creek,2025,6,14-Jul,36
Falls Creek,2025,7,21-Jul,68
Falls Creek,2025,8,28-Jul,80
Falls Creek,2025,9,4-Aug,73
Falls Creek,2025,10,11-Aug,145
Falls Creek,2025,11,18-Aug,147
Falls Creek,2025,12,25-Aug,152
Falls Creek,2025,13,1-Sep,150
Falls Creek,2025,14,8-Sep,216
Falls Creek,2025,15,15-Sep,192
Mt Baw Baw,2020,2,16-Jun,12
Mt Baw Baw,2020,3,23-Jun,23
Mt Baw Baw,2020,4,30-Jun,13
Mt Baw Baw,2020,5,7-Jul,17
Mt Baw Baw,2020,6,14-Jul,6
Mt Baw Baw,2020,7,21-Jul,7
Mt Baw Baw,2020,8,28-Jul,5
Mt Baw Baw,2020,9,4-Aug,12
Mt Baw Baw,2020,10,11-Aug,38
Mt Baw Baw,2020,11,18-Aug,42
Mt Baw Baw,2020,12,25-Aug,35
Mt Baw Baw,2020,13,1-Sep,58
Mt Baw Baw,2020,14,8-Sep,50
Mt Baw Baw,2020,15,15-Sep,27
Mt Baw Baw,2021,1,9-Jun,0
Mt Baw Baw,2021,2,16-Jun,0
Mt Baw Baw,2021,3,23-Jun,0
Mt Baw Baw,2021,4,30-Jun,1
Mt Baw Baw,2021,5,7-Jul,2
Mt Baw Baw,2021,6,14-Jul,4
Mt Baw Baw,2021,7,21-Jul,9
Mt Baw Baw,2021,8,28-Jul,4
Mt Baw Baw,2021,9,4-Aug,13
Mt Baw Baw,2021,10,11-Aug,5
Mt Baw Baw,2021,11,18-Aug,10
Mt Baw Baw,2021,12,25-Aug,11
Mt Baw Baw,2021,13,1-Sep,0
Mt Baw Baw,2021,14,8-Sep,0
Mt Baw Baw,2021,15,15-Sep,0
Mt Baw Baw,2022,1,9-Jun,0
Mt Baw Baw,2022,2,16-Jun,0
Mt Baw Baw,2022,3,23-Jun,0
Mt Baw Baw,2022,4,30-Jun,42
Mt Baw Baw,2022,5,7-Jul,22
Mt Baw Baw,2022,6,14-Jul,37
Mt Baw Baw,2022,7,21-Jul,58
Mt Baw Baw,2022,8,28-Jul,34
Mt Baw Baw,2022,9,4-Aug,50
Mt Baw Baw,2022,10,11-Aug,27
Mt Baw Baw,2022,11,18-Aug,15
