,Year,Week,Destination,Visitors,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Date_x,SnowDepth(cm)
630,2020,1,Mt. Baw Baw,1074,85291,6.8,1.0,4.99750022808138,2020-06-09,
631,2020,1,Mt. Baw Baw,1074,85291,7.4,1.4,0.0,2020-06-10,
632,2020,1,Mt. Baw Baw,1074,85291,3.8,-2.1545074897866545,4.99750022808138,2020-06-11,
633,2020,1,Mt. Baw Baw,1074,85291,7.2,0.1,0.0,2020-06-12,
634,2020,1,Mt. Baw Baw,1074,85291,4.7,-2.1545074897866545,0.0,2020-06-13,
635,2020,1,Mt. Baw Baw,1074,85291,3.7,-1.0,17.8,2020-06-14,
636,2020,1,Mt. Baw Baw,1074,85291,3.9,-0.8,2.6,2020-06-15,
637,2020,2,Mt. Baw Baw,544,85291,3.8,2.2,0.4,2020-06-16,12.0
638,2020,2,Mt. Baw Baw,544,85291,3.8,-2.1,9.2,2020-06-17,12.0
639,2020,2,Mt. Baw Baw,544,85291,6.0,-1.4,0.2,2020-06-18,12.0
640,2020,2,Mt. Baw Baw,544,85291,5.1,2.3,0.0,2020-06-19,12.0
641,2020,2,Mt. Baw Baw,544,85291,5.2,2.7,6.0,2020-06-20,12.0
642,2020,2,Mt. Baw Baw,544,85291,1.2,-1.0,0.2,2020-06-21,12.0
643,2020,2,Mt. Baw Baw,544,85291,0.2,-1.2,4.2,2020-06-22,12.0
644,2020,3,Mt. Baw Baw,603,85291,3.3,-1.5,17.0,2020-06-23,23.0
645,2020,3,Mt. Baw Baw,603,85291,5.7,0.0,29.4,2020-06-24,23.0
646,2020,3,Mt. Baw Baw,603,85291,2.4,1.0,0.0,2020-06-25,23.0
647,2020,3,Mt. Baw Baw,603,85291,-0.4,-1.9,4.2,2020-06-26,23.0
648,2020,3,Mt. Baw Baw,603,85291,1.0,-3.0,4.2,2020-06-27,23.0
649,2020,3,Mt. Baw Baw,603,85291,3.5,-2.8,0.2,2020-06-28,23.0
650,2020,3,Mt. Baw Baw,603,85291,7.4,-1.8,0.0,2020-06-29,23.0
651,2020,4,Mt. Baw Baw,2168,85291,3.6,-0.8,0.0,2020-06-30,13.0
652,2020,4,Mt. Baw Baw,2168,85291,6.9,0.4,0.0,2020-07-01,13.0
653,2020,4,Mt. Baw Baw,2168,85291,2.9090958655156745,-2.1545074897866545,10.6,2020-07-02,13.0
654,2020,4,Mt. Baw Baw,2168,85291,-0.6,-2.6,5.2,2020-07-03,13.0
655,2020,4,Mt. Baw Baw,2168,85291,1.7,-3.8,21.4,2020-07-04,13.0
656,2020,4,Mt. Baw Baw,2168,85291,0.7,-0.7,18.6,2020-07-05,13.0
657,2020,4,Mt. Baw Baw,2168,85291,1.5,-1.0,5.6,2020-07-06,13.0
658,2020,5,Mt. Baw Baw,4055,85291,5.1,-0.6,1.8,2020-07-07,17.0
659,2020,5,Mt. Baw Baw,4055,85291,2.9090958655156745,-1.2,0.0,2020-07-08,17.0
660,2020,5,Mt. Baw Baw,4055,85291,2.9090958655156745,0.7,0.0,2020-07-09,17.0
661,2020,5,Mt. Baw Baw,4055,85291,5.3,0.4,0.0,2020-07-10,17.0
662,2020,5,Mt. Baw Baw,4055,85291,3.4,1.2,0.0,2020-07-11,17.0
663,2020,5,Mt. Baw Baw,4055,85291,1.3,-0.5,7.2,2020-07-12,17.0
